Sanger ID,study_acc,sample_acc,run_acc,ebi_exp_acc
43416_2#207,ERP120687,ERS9756175,ERR10894018,ERX10337141
44994_2#1,ERP120687,ERS11390024,ERR11506654,ERX10912534
44994_2#2,ERP120687,ERS11390110,ERR11506655,ERX10912535
44994_2#3,ERP120687,ERS11390052,ERR11506656,ERX10912536
44994_2#4,ERP120687,ERS11390025,ERR11506657,ERX10912537
44994_2#5,ERP120687,ERS11390061,ERR11506658,ERX10912538
44994_2#6,ERP120687,ERS11390026,ERR11506659,ERX10912539
44994_2#7,ERP120687,ERS11390065,ERR11506660,ERX10912540
44994_2#8,ERP120687,ERS11390027,ERR11506661,ERX10912541
44994_2#9,ERP120687,ERS11390082,ERR11506662,ERX10912542
44994_2#10,ERP120687,ERS11390028,ERR11506663,ERX10912543
44994_2#11,ERP120687,ERS11390093,ERR11506664,ERX10912544
44994_2#12,ERP120687,ERS11390029,ERR11506665,ERX10912545
44994_2#13,ERP120687,ERS11390037,ERR11506666,ERX10912546
44994_2#14,ERP120687,ERS11390031,ERR11506667,ERX10912547
44994_2#15,ERP120687,ERS11390147,ERR11506668,ERX10912548
44994_2#16,ERP120687,ERS11390030,ERR11506669,ERX10912549
44994_2#17,ERP120687,ERS11390201,ERR11506670,ERX10912550
44994_2#19,ERP120687,ERS11390202,ERR11506672,ERX10912552
44994_2#21,ERP120687,ERS11390203,ERR11506674,ERX10912554
44994_2#23,ERP120687,ERS11390204,ERR11506676,ERX10912556
44994_2#25,ERP120687,ERS11390205,ERR11506678,ERX10912558
44994_2#27,ERP120687,ERS11390206,ERR11506680,ERX10912560
44994_2#29,ERP120687,ERS11390207,ERR11506682,ERX10912562
44994_2#31,ERP120687,ERS11390209,ERR11506684,ERX10912564
44994_2#33,ERP120687,ERS11390151,ERR11506686,ERX10912566
44994_2#34,ERP120687,ERS11390032,ERR11506687,ERX10912567
44994_2#35,ERP120687,ERS11390156,ERR11506688,ERX10912568
44994_2#36,ERP120687,ERS11390033,ERR11506689,ERX10912569
44994_2#37,ERP120687,ERS11390159,ERR11506690,ERX10912570
44994_2#38,ERP120687,ERS11390035,ERR11506691,ERX10912571
44994_2#39,ERP120687,ERS11390160,ERR11506692,ERX10912572
44994_2#40,ERP120687,ERS11390034,ERR11506693,ERX10912573
44994_2#41,ERP120687,ERS11390164,ERR11506694,ERX10912574
44994_2#42,ERP120687,ERS11390036,ERR11506695,ERX10912575
44994_2#43,ERP120687,ERS11390168,ERR11506696,ERX10912576
44994_2#44,ERP120687,ERS11390039,ERR11506697,ERX10912577
44994_2#45,ERP120687,ERS11390170,ERR11506698,ERX10912578
44994_2#47,ERP120687,ERS11390171,ERR11506700,ERX10912580
44994_2#49,ERP120687,ERS11390210,ERR11506702,ERX10912582
44994_2#51,ERP120687,ERS11390211,ERR11506704,ERX10912584
44994_2#53,ERP120687,ERS11390212,ERR11506706,ERX10912586
44994_2#55,ERP120687,ERS11390214,ERR11506708,ERX10912588
44994_2#65,ERP120687,ERS11390176,ERR11506718,ERX10912598
44994_2#67,ERP120687,ERS11390177,ERR11506720,ERX10912600
44994_2#69,ERP120687,ERS11390179,ERR11506722,ERX10912602
44994_2#71,ERP120687,ERS11390183,ERR11506724,ERX10912604
44994_2#73,ERP120687,ERS11390199,ERR11506726,ERX10912606
44994_2#75,ERP120687,ERS11390208,ERR11506728,ERX10912608
44994_2#77,ERP120687,ERS11390213,ERR11506730,ERX10912610
44994_2#108,ERP120687,ERS11390118,ERR11506761,ERX10912641
44994_2#110,ERP120687,ERS11390119,ERR11506763,ERX10912643
44994_2#112,ERP120687,ERS11390120,ERR11506765,ERX10912645
44994_2#130,ERP120687,ERS11390121,ERR11506783,ERX10912663
44994_2#132,ERP120687,ERS11390122,ERR11506785,ERX10912665
44994_2#134,ERP120687,ERS11390123,ERR11506787,ERX10912667
44994_2#136,ERP120687,ERS11390124,ERR11506789,ERX10912669
44994_2#137,ERP120687,ERS11390023,ERR11506790,ERX10912670
44994_2#138,ERP120687,ERS11390125,ERR11506791,ERX10912671
44994_2#139,ERP120687,ERS11390022,ERR11506792,ERX10912672
44994_2#140,ERP120687,ERS11390126,ERR11506793,ERX10912673
44994_2#141,ERP120687,ERS11390045,ERR11506794,ERX10912674
44994_2#142,ERP120687,ERS11390127,ERR11506795,ERX10912675
44994_2#143,ERP120687,ERS11390047,ERR11506796,ERX10912676
44994_2#144,ERP120687,ERS11390128,ERR11506797,ERX10912677
44994_2#161,ERP120687,ERS11390049,ERR11506814,ERX10912694
44994_2#162,ERP120687,ERS11390129,ERR11506815,ERX10912695
44994_2#163,ERP120687,ERS11390048,ERR11506816,ERX10912696
44994_2#164,ERP120687,ERS11390130,ERR11506817,ERX10912697
44994_2#165,ERP120687,ERS11390050,ERR11506818,ERX10912698
44994_2#166,ERP120687,ERS11390131,ERR11506819,ERX10912699
44994_2#167,ERP120687,ERS11390051,ERR11506820,ERX10912700
44994_2#168,ERP120687,ERS11390134,ERR11506821,ERX10912701
44994_2#169,ERP120687,ERS11390053,ERR11506822,ERX10912702
44994_2#170,ERP120687,ERS11390135,ERR11506823,ERX10912703
44994_2#171,ERP120687,ERS11390054,ERR11506824,ERX10912704
44994_2#172,ERP120687,ERS11390132,ERR11506825,ERX10912705
44994_2#173,ERP120687,ERS11390056,ERR11506826,ERX10912706
44994_2#174,ERP120687,ERS11390133,ERR11506827,ERX10912707
44994_2#175,ERP120687,ERS11390057,ERR11506828,ERX10912708
44994_2#176,ERP120687,ERS11390136,ERR11506829,ERX10912709
44994_2#193,ERP120687,ERS11390058,ERR11506846,ERX10912726
44994_2#194,ERP120687,ERS11390138,ERR11506847,ERX10912727
44994_2#195,ERP120687,ERS11390060,ERR11506848,ERX10912728
44994_2#196,ERP120687,ERS11390137,ERR11506849,ERX10912729
44994_2#197,ERP120687,ERS11390059,ERR11506850,ERX10912730
44994_2#198,ERP120687,ERS11390139,ERR11506851,ERX10912731
44994_2#199,ERP120687,ERS11390062,ERR11506852,ERX10912732
44994_2#200,ERP120687,ERS11390141,ERR11506853,ERX10912733
44994_2#201,ERP120687,ERS11390063,ERR11506854,ERX10912734
44994_2#202,ERP120687,ERS11390140,ERR11506855,ERX10912735
44994_2#203,ERP120687,ERS11390064,ERR11506856,ERX10912736
44994_2#204,ERP120687,ERS11390142,ERR11506857,ERX10912737
44994_2#205,ERP120687,ERS11390066,ERR11506858,ERX10912738
44994_2#206,ERP120687,ERS11390143,ERR11506859,ERX10912739
44994_2#207,ERP120687,ERS11390067,ERR11506860,ERX10912740
44994_2#208,ERP120687,ERS11390145,ERR11506861,ERX10912741
44994_2#225,ERP120687,ERS11390068,ERR11506878,ERX10912758
44994_2#226,ERP120687,ERS11390148,ERR11506879,ERX10912759
44994_2#227,ERP120687,ERS11390070,ERR11506880,ERX10912760
44994_2#228,ERP120687,ERS11390146,ERR11506881,ERX10912761
44994_2#229,ERP120687,ERS11390069,ERR11506882,ERX10912762
44994_2#230,ERP120687,ERS11390149,ERR11506883,ERX10912763
44994_2#231,ERP120687,ERS11390071,ERR11506884,ERX10912764
44994_2#232,ERP120687,ERS11390157,ERR11506885,ERX10912765
44994_2#233,ERP120687,ERS11390072,ERR11506886,ERX10912766
44994_2#234,ERP120687,ERS11390150,ERR11506887,ERX10912767
44994_2#235,ERP120687,ERS11390074,ERR11506888,ERX10912768
44994_2#236,ERP120687,ERS11390152,ERR11506889,ERX10912769
44994_2#237,ERP120687,ERS11390073,ERR11506890,ERX10912770
44994_2#238,ERP120687,ERS11390153,ERR11506891,ERX10912771
44994_2#239,ERP120687,ERS11390075,ERR11506892,ERX10912772
44994_2#240,ERP120687,ERS11390154,ERR11506893,ERX10912773
44994_2#257,ERP120687,ERS11390078,ERR11506910,ERX10912790
44994_2#258,ERP120687,ERS11390155,ERR11506911,ERX10912791
44994_2#259,ERP120687,ERS11390076,ERR11506912,ERX10912792
44994_2#260,ERP120687,ERS11390158,ERR11506913,ERX10912793
44994_2#261,ERP120687,ERS11390077,ERR11506914,ERX10912794
44994_2#262,ERP120687,ERS11390161,ERR11506915,ERX10912795
44994_2#263,ERP120687,ERS11390079,ERR11506916,ERX10912796
44994_2#264,ERP120687,ERS11390162,ERR11506917,ERX10912797
44994_2#265,ERP120687,ERS11390080,ERR11506918,ERX10912798
44994_2#266,ERP120687,ERS11390163,ERR11506919,ERX10912799
44994_2#267,ERP120687,ERS11390081,ERR11506920,ERX10912800
44994_2#268,ERP120687,ERS11390165,ERR11506921,ERX10912801
44994_2#269,ERP120687,ERS11390083,ERR11506922,ERX10912802
44994_2#270,ERP120687,ERS11390167,ERR11506923,ERX10912803
44994_2#271,ERP120687,ERS11390084,ERR11506924,ERX10912804
44994_2#272,ERP120687,ERS11390166,ERR11506925,ERX10912805
44994_2#289,ERP120687,ERS11390085,ERR11506942,ERX10912822
44994_2#290,ERP120687,ERS11390169,ERR11506943,ERX10912823
44994_2#291,ERP120687,ERS11390086,ERR11506944,ERX10912824
44994_2#292,ERP120687,ERS11390172,ERR11506945,ERX10912825
44994_2#293,ERP120687,ERS11390087,ERR11506946,ERX10912826
44994_2#294,ERP120687,ERS11390173,ERR11506947,ERX10912827
44994_2#295,ERP120687,ERS11390088,ERR11506948,ERX10912828
44994_2#296,ERP120687,ERS11390174,ERR11506949,ERX10912829
44994_2#297,ERP120687,ERS11390089,ERR11506950,ERX10912830
44994_2#298,ERP120687,ERS11390175,ERR11506951,ERX10912831
44994_2#299,ERP120687,ERS11390090,ERR11506952,ERX10912832
44994_2#300,ERP120687,ERS11390178,ERR11506953,ERX10912833
44994_2#301,ERP120687,ERS11390091,ERR11506954,ERX10912834
44994_2#302,ERP120687,ERS11390180,ERR11506955,ERX10912835
44994_2#303,ERP120687,ERS11390092,ERR11506956,ERX10912836
44994_2#304,ERP120687,ERS11390181,ERR11506957,ERX10912837
44994_2#321,ERP120687,ERS11390094,ERR11506974,ERX10912854
44994_2#322,ERP120687,ERS11390182,ERR11506975,ERX10912855
44994_2#323,ERP120687,ERS11390096,ERR11506976,ERX10912856
44994_2#324,ERP120687,ERS11390184,ERR11506977,ERX10912857
44994_2#325,ERP120687,ERS11390095,ERR11506978,ERX10912858
44994_2#326,ERP120687,ERS11390186,ERR11506979,ERX10912859
44994_2#327,ERP120687,ERS11390097,ERR11506980,ERX10912860
44994_2#328,ERP120687,ERS11390187,ERR11506981,ERX10912861
44994_2#329,ERP120687,ERS11390099,ERR11506982,ERX10912862
44994_2#330,ERP120687,ERS11390189,ERR11506983,ERX10912863
44994_2#331,ERP120687,ERS11390098,ERR11506984,ERX10912864
44994_2#332,ERP120687,ERS11390188,ERR11506985,ERX10912865
44994_2#333,ERP120687,ERS11390100,ERR11506986,ERX10912866
44994_2#334,ERP120687,ERS11390190,ERR11506987,ERX10912867
44994_2#335,ERP120687,ERS11390101,ERR11506988,ERX10912868
44994_2#336,ERP120687,ERS11390191,ERR11506989,ERX10912869
44994_2#353,ERP120687,ERS11390102,ERR11507006,ERX10912886
44994_2#354,ERP120687,ERS11390192,ERR11507007,ERX10912887
44994_2#355,ERP120687,ERS11390103,ERR11507008,ERX10912888
44994_2#356,ERP120687,ERS11390193,ERR11507009,ERX10912889
44994_2#357,ERP120687,ERS11390104,ERR11507010,ERX10912890
44994_2#358,ERP120687,ERS11390195,ERR11507011,ERX10912891
44994_2#359,ERP120687,ERS11390105,ERR11507012,ERX10912892
44994_2#360,ERP120687,ERS11390194,ERR11507013,ERX10912893
44994_2#361,ERP120687,ERS11390106,ERR11507014,ERX10912894
44994_2#362,ERP120687,ERS11390196,ERR11507015,ERX10912895
44994_2#363,ERP120687,ERS11390107,ERR11507016,ERX10912896
44994_2#364,ERP120687,ERS11390198,ERR11507017,ERX10912897
44994_2#365,ERP120687,ERS11390111,ERR11507018,ERX10912898
44994_2#366,ERP120687,ERS11390197,ERR11507019,ERX10912899
44994_2#367,ERP120687,ERS11390108,ERR11507020,ERX10912900
44994_2#368,ERP120687,ERS11390200,ERR11507021,ERX10912901
44994_2#384,ERP120687,ERS11390185,ERR11507037,ERX10912917
45018_2#120,ERP120687,ERS11390668,ERR11525319,ERX10930593
45018_2#193,ERP120687,ERS11390661,ERR11525392,ERX10930666
45018_2#194,ERP120687,ERS11390662,ERR11525393,ERX10930667
45018_2#195,ERP120687,ERS11390666,ERR11525394,ERX10930668
45018_2#196,ERP120687,ERS11390664,ERR11525395,ERX10930669
45018_2#197,ERP120687,ERS11390663,ERR11525396,ERX10930670
45018_2#198,ERP120687,ERS11390665,ERR11525397,ERX10930671
45018_2#199,ERP120687,ERS11390667,ERR11525398,ERX10930672
45018_2#200,ERP120687,ERS11390669,ERR11525399,ERX10930673
45018_2#217,ERP120687,ERS11390670,ERR11525416,ERX10930690
45018_2#218,ERP120687,ERS11390672,ERR11525417,ERX10930691
45018_2#219,ERP120687,ERS11390671,ERR11525418,ERX10930692
45018_2#220,ERP120687,ERS11390674,ERR11525419,ERX10930693
45018_2#221,ERP120687,ERS11390673,ERR11525420,ERX10930694